Zillow Link	Photo	Full Name	Rating	Not sure	Brokerage	Range	Range of sold	sales last 12 months	Number of sales in past 12 mo	Sales where	Idk
https://www.zillow.com/profile/220agents	https://photos.zillowstatic.com/fp/a171c3dfea5d194a224eedba52909a3d-h_l.jpg	220 Agents	4.9	-338	Coldwell Banker Howard Perry and Walston	team price range	$12K - $3.3M	team sales last 12 months	272	team sales in Durham	450
https://www.zillow.com/profile/Daniel-Gluckin	https://photos.zillowstatic.com/fp/6cf98d76c6313eae17596d451a654fe5-h_l.jpg	Daniel Gluckin	5	-178	Compass	team price range	$28K - $1.3M	team sales last 12 months	38	team sales in Durham	150
https://www.zillow.com/profile/Tammi-Juliano	https://photos.zillowstatic.com/fp/2ef7d6ea90c18ad973a61ecb47d79eb8-h_l.jpg	Tammi Juliano	5	-232	TLC Realty Group	price range	$50K - $2.2M	sales last 12 months	4	sales in Durham	107
https://www.zillow.com/profile/CharlesDDavies	https://photos.zillowstatic.com/fp/d6aa718fa112efcb12073a0ac297b911-h_l.jpg	Charles Davies	5	-78	Keller Williams Elite Realty	price range	$255K - $987K	sales last 12 months	8	sales in Durham	162
https://www.zillow.com/profile/joellenmason	https://photos.zillowstatic.com/fp/141b28b2d803e9a0dffdf36e03eff12d-h_l.jpg	JoEllen Mason	5	-40	Berkshire Hathaway HomeServices YSU Realty	No recent price range		No sales last 12 months		sales in Durham	308
https://www.zillow.com/profile/keithorealty	https://photos.zillowstatic.com/fp/f9a76eb7542527ddc6394687f6fc3fd6-h_l.jpg	Keith O'Hare	5	-108	Keith O Realty with Keller Williams Legacy	price range	$227K - $2.5M	sales last 12 months	51	sales in Durham	93
https://www.zillow.com/profile/durhamhousehunters	https://photos.zillowstatic.com/fp/2c391183438ad6a3de2885c36603199e-h_l.jpg	Brooks Brittingham	4.9	-72	Cornerstone Realty Team at Berkshire Hathaway YSU	team price range	$135K - $1.6M	team sales last 12 months	28	team sales in Durham	266
https://www.zillow.com/profile/Paul-Hofmann	https://photos.zillowstatic.com/fp/ec60a468a6391981e3dde7af2bc77412-h_l.jpg	Paul Hofmann CRS	4.9	-46	Keller Williams Realty	No recent price range		No sales last 12 months		sales in Durham	83
https://www.zillow.com/profile/MichaelNewport	https://photos.zillowstatic.com/fp/ffd074139a251603c524360ddee6dd85-h_l.jpg	Michael Newport	5	-79	Mallard Realty Group	price range	$260K - $1.3M	sales last 12 months	13	sales in Durham	267
https://www.zillow.com/profile/hollyshayes	https://photos.zillowstatic.com/fp/836430f0d22662135ac46e61a521b4bc-h_l.jpg	Holly Hayes	5	-53	Nest Realty	price range	$190K - $1.3M	sales last 12 months	20	sales in Durham	357
https://www.zillow.com/profile/Jen-Patterson	https://photos.zillowstatic.com/fp/a478eb0a8fd807666fcaafcc3bdb75c2-h_l.jpg	Jennifer Patterson	5	-100	Keller Williams Elite	price range	$50K - $1.7M	sales last 12 months	20	sales in Durham	109
https://www.zillow.com/profile/Adrian-Brown	https://photos.zillowstatic.com/fp/fbef9943e1105c7bde2dbbdc0e9299a1-h_l.jpg	Adrian Brown	5	-40	Inhabit Real Estate	No recent price range		No sales last 12 months		sales in Durham	23
https://www.zillow.com/profile/Invested-Realty	https://photos.zillowstatic.com/fp/baf3d0b7724729e93c10903596a254ba-h_l.jpg	Invested Realty	5	-45	Invested Realty	team price range	$265K - $1M	team sales last 12 months	13	team sales in Durham	102
https://www.zillow.com/profile/lisaellisandco	https://photos.zillowstatic.com/fp/2332267339ed151de312d6a2f613265b-h_l.jpg	Lisa Ellis	5	-58	Real Estate by Design	price range	$110K - $1.5M	sales last 12 months	42	sales in Durham	391
https://www.zillow.com/profile/Susan-Richter-Realtor	https://photos.zillowstatic.com/fp/a40c698f3d6674787537211dc8ff784c-h_l.jpg	Susan Richter	5	-36	Susan Richter	team price range	$150K - $2.1M	team sales last 12 months	18	team sales in Durham	984
https://www.zillow.com/profile/Nata-Bozymski	https://photos.zillowstatic.com/fp/03d4bfbc5d66a8b6c17d43e5ec0cdd31-h_l.jpg	Nata Bozymski	5	-81	Inhabit Real Estate	price range	$315K - $3M	sales last 12 months	16	sales in Durham	117
https://www.zillow.com/profile/Dona-Aguayo	https://photos.zillowstatic.com/fp/6d1529b9d6d69efc03d1e18fd8e0a43f-h_l.jpg	Dona Aguayo	5	-48	Keller Williams Elite	team price range	$219K - $809K	team sales last 12 months	7	team sales in Durham	248
https://www.zillow.com/profile/Durham-Real-Estate	https://photos.zillowstatic.com/fp/877f70f1f6e88f3425d8b7c61f5ef3d3-h_l.jpg	Mark Stone	5	-61	Mark Stone Properties	team price range	$16K - $5M	team sales last 12 months	19	team sales in Durham	212
https://www.zillow.com/profile/WilsonRealtyGroupAW	https://photos.zillowstatic.com/fp/562c0b742d9c6b95de019dbf58154c1f-h_l.jpg	Ashley Wilson DeWeese	5	-299	Keller Williams Preferred Realty/Ashley R Wilson Inc/DBA AWRG	team price range	$55K - $2.9M	team sales last 12 months	131	team sales in Durham	235
https://www.zillow.com/profile/JustinBurleson	https://photos.zillowstatic.com/fp/c1cfb33b56c72f4d4877d1bc4e3f1d41-h_l.jpg	Justin Burleson	5	-175	Premier Agents Network	team price range	$26K - $3.1M	team sales last 12 months	71	team sales in Durham	270
https://www.zillow.com/profile/barry-elizabeth	https://photos.zillowstatic.com/fp/90a34ce1fa103b04da101922d4874eff-h_l.jpg	Elizabeth Barry	5	-52	Inhabit Real Estate	price range	$167K - $1M	sales last 12 months	18	sales in Durham	68
https://www.zillow.com/profile/favioruiz	https://photos.zillowstatic.com/fp/dd9d8b66cd8e6d6aa91be41a935e252f-h_l.jpg	Favio Ruiz	5	-65	DASH Carolina	price range	$265K - $1.2M	sales last 12 months	21	sales in Durham	41
https://www.zillow.com/profile/Deborah-McCormick	https://photos.zillowstatic.com/fp/6d6b756653df67be13d43e653bdbf65b-h_l.jpg	Debbie McCormick	5	-144	Berkshire Hathaway HomeServices YSU	team price range	$200K - $2.7M	team sales last 12 months	56	team sales in Durham	133
https://www.zillow.com/profile/Kestromb	https://photos.zillowstatic.com/fp/20f1fa4834ba424e6ccbbfc78619ff46-h_l.jpg	Karl Stromberg	5	-172	DASH Carolina	price range	$235K - $1.2M	sales last 12 months	25	sales in Durham	30
https://www.zillow.com/profile/Movil-Realty	https://photos.zillowstatic.com/fp/773aed44d010c16dbd60d77cfc8aa220-h_l.jpg	Movil Realty	5	-174	Movil Realty	team price range	$15K - $1.4M	team sales last 12 months	63	team sales in Durham	566
https://www.zillow.com/profile/AnnaSTerryRealtor	https://photos.zillowstatic.com/fp/2fe8c0251b5fa9141d81110a4b4d1bbc-h_l.jpg	Anna S Terry	5	-41	Keller Williams Elite Realty	price range	$50K - $1.2M	sales last 12 months	11	sales in Durham	236
https://www.zillow.com/profile/brandonajozwiak	https://photos.zillowstatic.com/fp/79ba55f10a7af1e2862e93b417d97b34-h_l.jpg	Brandon Jozwiak	5	-39	Nest Realty	price range	$170K - $1.1M	sales last 12 months	12	sales in Durham	192
https://www.zillow.com/profile/davebrion	https://photos.zillowstatic.com/fp/2b344a1a96ce8f2c301dd7f368f544f7-h_l.jpg	Dave Brion	5	-52	Classic Carolina Realty	No recent price range		No team sales last 12 months		team sales in Durham	55
https://www.zillow.com/profile/Peter-Florian	https://photos.zillowstatic.com/fp/21e985e8d4145e31ddc3501a1a1ec64c-h_l.jpg	Peter Florian	5	-37	Peter Florian RealEstate LLC with eXp Realty	price range	$417K - $417K	No sales last 12 months		sales in Durham	61
https://www.zillow.com/profile/AlanTrammel	https://photos.zillowstatic.com/fp/c24e43b5fd69d1805d65c7dc4675a6e1-h_l.jpg	Alan Trammel	5	-53	Trammel Brothers Inc	price range	$145K - $675K	sales last 12 months	10	sales in Durham	196
https://www.zillow.com/profile/Shelbybishop13	https://photos.zillowstatic.com/fp/a33f5ae62b61bc34f941599e75d90e1c-h_l.jpg	Shelby Bishop	5	-94	Keller Williams United, alignmint	price range	$229K - $1.3M	sales last 12 months	10	sales in Durham	10
https://www.zillow.com/profile/NeillWatson	https://photos.zillowstatic.com/fp/68e72e6d39a106ac80efcaaa3215bfe6-h_l.jpg	Neill Watson	4.9	-48	Borden Real Estate	price range	$245K - $725K	sales last 12 months	2	sales in Durham	129
https://www.zillow.com/profile/CostelloREIRaleigh	https://photos.zillowstatic.com/fp/d2b0014c3c97ee9d7473deaf3ad8230d-h_l.jpg	Costello REI Raleigh	5	-350	Costello Real Estate & Investments	team price range	$11K - $2M	team sales last 12 months	273	team sales in Durham	75
https://www.zillow.com/profile/janeleerealtor	https://photos.zillowstatic.com/fp/35d386fca2e4774aa55d607157884b43-h_l.jpg	Jane Lee	5	-52	Jordan Lee Real Estate	price range	$380K - $975K	sales last 12 months	40	sales in Durham	319
https://www.zillow.com/profile/KatieJoyce	https://photos.zillowstatic.com/fp/0ed7d9bac5060d4ea01ef786af19a2e8-h_l.jpg	Katie Joyce	5	-42	Peak, Swirles, Cavallito Properties	price range	$380K - $1.5M	sales last 12 months	4	sales in Durham	78
https://www.zillow.com/profile/Margaret-Rubin	https://photos.zillowstatic.com/fp/308b0de1cc14aad3fab85265f1d1309a-h_l.jpg	Margaret Rubin	5	-33	Nest Realty of the Triangle	price range	$230K - $895K	sales last 12 months	5	sales in Durham	107
https://www.zillow.com/profile/Marti-Hampton	https://photos.zillowstatic.com/fp/f6465b714f507f2015e33817e4b373c6-h_l.jpg	Marti Hampton	4.9	-444	eXp Realty	team price range	$19K - $2.5M	team sales last 12 months	242	team sales in Durham	300
